P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
0.55,-,104.12,-,0.03,-0.04,-,6.40%,9.00%,-111.90%,24.50%
-,-,86.12,-,-,-0.28,-,181.70%,-82.30%,46.10%,0.90%
0.56,-,-,-,0.00,-84.81,-,-251.30%,-,92.90%,4.60%
1.42,12.45,10.80,1.40,12.59,5.88,4.10%,11.90%,0.90%,-14.80%,0.20%
7.33,-,-,-,-,-0.71,-,-,-,-,81.10%
,,,,,,,,,,
7.13,15.26,10.92,0.96,0.00,13.01,0.60%,51.20%,19.50%,158.40%,0.60%
0.83,6.18,-,-,0.14,2.80,4.39%,14.50%,38.90%,-7.80%,6.10%
0.22,1.38,-,-,0.03,0.40,-,17.10%,14.90%,-52.40%,61.25%
1.27,-,11.37,-,0.23,-0.12,-,-5.00%,-7.70%,184.00%,2.00%
0.33,-,-,-,0.00,-2.31,-,-143.10%,-,44.20%,16.30%
0.74,6.26,6.95,-,0.17,5.03,3.17%,12.40%,26.10%,163.50%,0.20%
,,,,,,,,,,
0.78,-,-,-,0.02,-12.30,-,-160.80%,-242.20%,-33.80%,0.60%
,,,,,,,,,,
0.82,-,-,-,1.11,-9.76,-,-692.10%,-43.00%,76.80%,23.90%
13.12,-,-,-,20.93,-0.42,-,-288.90%,-22.20%,-61.60%,7.80%
,,,,,,,,,,
2.28,25.81,23.12,2.58,0.00,2.27,1.79%,9.20%,3.70%,776.30%,1.80%
-,24.09,12.16,1.61,-,1.00,-,-34.40%,99.50%,-103.70%,4.70%
0.02,-,-,-,0.82,-39.27,-,10.30%,14.10%,114.10%,0.18%
36.25,50.59,23.25,3.17,1.99,3.85,-,71.30%,25.30%,233.50%,0.10%
43.45,-,-,-,43.85,-4.89,-,-252.40%,-25.70%,1.70%,2.10%
0.41,-,-,-,0.00,-2.17,-,-44.90%,-52.70%,29.30%,9.80%
1.44,-,-,-,0.00,-0.40,-,-95.20%,-,-69.00%,22.20%
13.55,11.93,12.41,1.51,2.17,5.79,2.89%,135.60%,28.80%,-73.00%,0.20%
0.72,-,4.02,-,0.52,-0.60,-,-22.60%,-9.90%,-180.30%,11.74%
0.65,-,-,-,0.01,-8.90,-,-51.80%,-41.20%,54.50%,1.80%
9.88,42.04,32.54,28.03,0.00,0.90,0.66%,26.30%,17.50%,229.40%,16.90%
0.72,22.82,9.77,-,0.13,0.81,3.23%,3.30%,1.50%,-66.30%,9.90%
-,-,-,-,-,-8.82,-,-454.30%,-41.50%,8.40%,4.50%
0.88,-,11.67,-,0.73,-0.28,-,-2.80%,2.30%,-543.40%,4.59%
1.76,37.74,11.80,5.03,0.00,0.35,-,4.70%,4.40%,-84.70%,0.50%
1.21,7.93,7.79,0.44,0.24,1.50,5.70%,16.50%,29.10%,-60.10%,1.00%
,,,,,,,,,,
2.46,40.44,14.05,0.62,1.21,3.34,-,5.50%,4.00%,178.90%,0.30%
0.12,5.75,-,-,0.00,0.60,-,-,25.00%,158.60%,95.24%
,,,,,,,,,,
-,30.56,-,-,-,10.82,0.97%,-62.90%,361.10%,-6.20%,5.60%
-,-,-,-,-,-3.27,-,-,7008.90%,-19.20%,0.90%
,,,,,,,,,,
24.52,51.42,23.57,2.73,1.33,3.39,-,68.90%,18.60%,180.80%,1.20%
-,-,-,-,-,-,3.87%,-,-,-,-
0.85,-,-,-,0.00,-0.08,-,-3.00%,-5.60%,-41.20%,26.30%
1.26,-,-,-,0.00,-1.38,-,-24.30%,-,-25.40%,0.90%
4.70,-,-,-,0.00,-0.18,-,-18.90%,-83.20%,23.50%,4.60%
,,,,,,,,,,
0.20,-,-,-,0.26,-6.04,35.20%,-21.20%,-28.20%,25.60%,-
37.50,-,-,-,3.03,-0.25,-,-415.50%,-,71.20%,0.80%
-,-,-,-,-,-,3.57%,-,-,-,-
3.09,240.68,34.22,13.36,0.27,0.09,-,1.30%,2.10%,-34.20%,1.20%
2.06,-,-,-,0.00,-0.25,-,-41.50%,-16.10%,-144.40%,30.84%
0.69,46.18,9.39,2.31,0.00,0.24,1.08%,1.50%,1.60%,-86.20%,2.30%
11.07,31.88,14.14,4.12,4.85,0.55,-,38.40%,9.20%,-52.10%,0.60%
0.77,7.91,8.09,0.88,0.89,1.69,4.34%,10.00%,13.20%,23.50%,0.30%
4.16,-,-,-,0.31,-0.05,-,-1.20%,-0.30%,-207.00%,6.55%
4.36,-,36.90,-,0.38,-0.17,-,-2.40%,-6.00%,-,0.04%
0.31,4.50,-,-,-,3.96,8.07%,-,-,-2.50%,-
-,-,-,-,-,-,1.51%,-,-,-,-
-,-,-,-,-,-,2.20%,-,-,-,-
0.86,11.84,10.51,1.18,0.34,2.39,2.65%,7.60%,15.10%,-88.60%,7.00%
8.36,-,-,-,0.15,-0.12,-,-1.20%,-,-247.50%,75.61%
-,-,-,-,-,-1.36,-,-,4.70%,-,0.40%
1.48,-,-,-,0.00,-0.31,-,-,-,81.30%,11.53%
52.33,333.56,42.76,9.93,2.99,0.64,-,32.10%,-6.40%,226.80%,1.40%
,,,,,,,,,,
26.50,-,-,-,0.00,-0.57,-,-242.30%,-279.30%,-19.20%,0.10%
-,-,-,-,-,-,1.69%,-,-,-,-
,,,,,,,,,,
2.52,0.97,-,-,-,0.69,-,-,-,-,44.99%
1.33,3.15,3.17,-,0.27,5.59,15.89%,-,29.70%,417.50%,16.30%
0.77,6.84,6.86,0.98,0.00,3.97,5.01%,11.90%,21.70%,18.10%,1.20%
13.69,53.33,37.28,2.13,0.00,9.66,0.78%,29.30%,26.30%,36.90%,3.90%
18.29,-,21.00,-,1.17,-0.49,-,-21.20%,-7.10%,115.70%,1.00%
,,,,,,,,,,
0.83,-,-,-,2.84,-250.15,-,80.10%,-502.80%,-,2.06%
0.64,9.97,13.70,-,0.04,0.78,12.80%,6.40%,9.60%,-97.80%,1.10%
,,,,,,,,,,
0.51,0.69,-,-,0.00,2.00,-,87.90%,-23.50%,14.90%,0.80%
1.91,-,-,-,0.16,-3.44,-,-88.40%,-,-13.20%,1.20%
-,4.64,-,-,-,0.57,-,51.80%,-893.60%,-208.40%,10.60%
0.37,-,5.90,-,0.61,-0.31,-,-1.90%,4.70%,-67.50%,3.50%
1.55,-,6.67,-,0.32,-1.76,-,-40.80%,-19.30%,-398.50%,33.20%
0.30,-,3.12,-,0.04,-1.26,-,-93.60%,-169.10%,80.90%,3.10%
3.31,55.15,11.34,3.51,2.51,0.94,-,6.00%,6.70%,-102.20%,-
-,-,-,-,-,-0.12,-,-,13.00%,-,2.54%
0.75,0.15,-,-,0.23,6.42,-,-,-132.80%,100.90%,0.30%
2.29,-,-,-,0.02,-2.04,-,-32.60%,-,-2.20%,1.94%
1.63,4.07,9.16,0.61,0.46,16.82,3.74%,42.20%,8.30%,-144.80%,0.40%
,,,,,,,,,,
0.49,-,31.65,-,0.00,-1.38,-,-74.60%,-,-23.20%,0.60%
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,0.42%
-,5.53,4.60,-,-,2.64,-,-,5.20%,100.60%,0.10%
0.70,-,14.89,-,0.10,-0.22,-,-4.60%,-3.10%,40.20%,23.94%
,,,,,,,,,,
2.51,-,-,-,0.29,-2.57,-,-32.40%,-22.70%,-87.90%,3.40%
-,-,-,-,-,-,-,-,-,-,-
6.86,16.86,19.51,1.41,0.17,10.58,0.67%,43.30%,40.10%,-34.90%,0.50%
1.30,9.20,14.29,0.46,0.00,0.97,-,-,16.10%,-384.60%,3.40%
-,-,-,-,-,-,12.17%,-,-,-,-
2.79,47.94,13.58,1.17,0.46,0.24,-,6.30%,6.00%,82.40%,5.00%
-,3.11,1.19,-,-,1.02,-,13.10%,31.10%,129.60%,28.89%
11.12,-,-,-,0.09,-0.04,-,1.40%,-,-211.90%,-
0.90,21.03,8.33,2.10,1.24,0.63,9.96%,4.20%,3.40%,-12.50%,4.23%
0.48,36.13,-,-,0.00,0.23,-,1.40%,28.20%,-141.20%,28.77%
2.10,4.68,6.40,0.16,0.21,1.90,-,53.00%,52.00%,-48.10%,1.00%
3.30,-,-,-,0.04,-0.60,-,-34.30%,-105.80%,-9.70%,3.60%
1.55,33.85,10.71,-,0.25,0.71,-,-,8.30%,71.70%,56.54%
,,,,,,,,,,
-,-,-,-,-,-,5.89%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
1.29,-,-,-,0.00,-5.46,-,-61.00%,-84.70%,66.20%,2.20%
23.57,18.71,22.32,3.57,0.00,24.52,1.13%,159.60%,43.30%,4.20%,0.30%
0.28,-,-,-,0.33,-1.87,-,-,138.30%,-263.60%,71.00%
1.61,-,8.97,-,0.13,-0.35,-,-8.60%,1.80%,184.90%,3.50%
6.17,-,-,-,0.00,-0.63,-,-105.10%,-,-7.30%,0.40%
3.44,19.23,18.65,1.44,0.00,7.20,-,16.10%,14.30%,-43.10%,0.10%
8.71,-,313.42,-,2.35,-1.70,-,-26.60%,-4.30%,-353.90%,3.71%
-,-,-,-,-,-,1.78%,-,-,-,-
0.23,-,-,-,0.00,-28.64,-,-90.40%,-89.70%,-34.20%,3.39%
1.80,-,70.26,-,7.32,-3.98,-,-,-6.70%,26.60%,1.90%
-,518.50,-,-,-,0.02,-,-,-,-,4.93%
,,,,,,,,,,
3.52,-,-,-,0.00,-0.62,-,-80.10%,-97.80%,-22.90%,25.33%
0.50,5.48,6.06,-,1.62,1.67,15.30%,9.10%,3.70%,-30.20%,0.50%
1.03,-,-,-,-,-0.29,7.09%,-,-,48.60%,-
2.68,-,-,-,0.00,-1.34,-,209.20%,-,-59.50%,17.39%
,,,,,,,,,,
0.33,-,-,-,0.18,-3.07,-,-42.70%,-12.10%,-,1.40%
1.07,7.39,7.34,1.53,0.79,3.44,5.19%,15.20%,15.20%,14.20%,0.10%
0.23,-,-,-,0.16,-0.46,-,-6.20%,-,-313.30%,7.00%
-,34.50,28.16,4.31,-,6.52,-,-45.20%,326.40%,19.20%,1.10%
0.63,8.19,7.28,1.02,0.13,0.92,5.33%,7.80%,26.60%,115.50%,5.30%
2.21,11.83,7.79,-,0.09,0.70,-,19.50%,9.40%,146.80%,25.30%
6.01,26.79,15.25,1.79,0.90,2.90,-,26.00%,13.40%,-0.90%,0.30%
,,,,,,,,,,
,,,,,,,,,,
3.31,16.53,16.56,1.97,1.69,2.88,6.06%,-,10.10%,45.20%,0.10%
3.57,17.88,15.01,1.37,0.29,4.75,2.11%,21.60%,11.00%,56.20%,45.00%
12.66,-,-,-,0.00,-1.72,-,-207.50%,-206.60%,-52.50%,1.00%
0.01,-,-,-,0.89,-62.06,-,-154.20%,-23.40%,-269.90%,12.57%
1.15,7.12,-,-,0.00,3.37,5.66%,17.30%,28.80%,-4.10%,0.30%
,,,,,,,,,,
-,-,-,-,-,-,0.84%,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-
3.34,-,-,-,0.00,-1.30,-,-77.20%,-131.90%,-242.00%,0.78%
1.85,30.13,20.70,3.77,0.00,0.64,1.77%,5.00%,5.50%,70.30%,3.50%
2.15,-,15.97,-,0.59,-4.83,1.54%,-26.10%,-14.50%,-128.00%,0.60%
,,,,,,,,,,
1.89,-,5.42,-,2.84,-2.56,-,-10.00%,4.50%,-,0.40%
1.51,-,-,-,0.00,-0.14,-,-14.50%,-10.40%,0.10%,95.45%
2.06,-,19.63,-,1.84,-2.27,35.75%,-16.90%,2.70%,-171.80%,0.10%
0.98,-,-,-,0.10,-1.04,-,-41.60%,-49.90%,51.30%,5.84%
0.85,8.32,-,-,0.00,1.22,-,11.80%,-,-423.30%,1.00%
-,-,-,-,-,-1.85,-,-,821.30%,-,15.53%
,,,,,,,,,,
1.30,11.94,7.59,-,-,6.36,-,-,-,-76.90%,7.73%
2.34,-,-,-,0.00,-0.53,-,-10.90%,-,-89.80%,40.39%
1.17,-,-,-,0.00,-0.77,-,-194.00%,-129.30%,81.70%,55.96%
,,,,,,,,,,
3.33,-,-,-,0.18,-12.87,-,-433.40%,-792.10%,-83.90%,1.20%
0.54,-,-,-,-,-0.31,-,-,-,-,50.50%
-,-,-,-,-,-,1.54%,-,-,-,-
-,-,-,-,-,-0.35,-,-,-,-,-
1.32,4.05,4.34,0.51,0.10,9.61,2.57%,32.00%,31.20%,132.40%,0.10%
0.35,-,-,-,0.51,-10.02,-,-87.90%,-75.50%,46.90%,-
,,,,,,,,,,
1.76,6.50,6.95,0.43,0.03,8.23,-,30.60%,26.90%,-0.40%,2.40%
-,-,-,-,-,-2.93,-,470.00%,-440.80%,63.80%,0.10%
6.00,65.74,47.36,4.38,0.00,1.18,-,9.70%,9.00%,54.50%,0.10%
0.97,-,-,-,-,-,9.11%,-,-,9.60%,-
1.08,-,-,-,0.38,-0.29,-,-,-12.90%,-,37.83%
2.60,27.84,84.55,-,0.04,0.33,-,10.00%,29.00%,-95.50%,18.90%
0.64,1.72,8.21,0.11,0.58,3.68,7.57%,40.60%,23.50%,89.10%,10.20%
21.83,14.85,11.60,8.61,11.52,14.72,3.90%,210.00%,20.60%,97.10%,0.22%
3.33,-,-,-,0.04,-0.85,-,-,-174.60%,37.80%,1.50%
-,-,-,-,-,-0.63,-,-,-141.20%,13.30%,10.60%
3.03,-,-,-,0.00,-0.01,-,-0.90%,-24.90%,141.20%,55.25%
-,-,-,-,-,-,2.55%,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.61,-,-,-,0.00,-4.20,-,-97.80%,-,-36.20%,1.40%
,,,,,,,,,,
,,,,,,,,,,
0.52,-,-,-,0.09,-0.80,-,-,-147.90%,-24.80%,21.60%
,,,,,,,,,,
3.79,46.82,18.34,0.89,0.58,0.23,-,6.50%,0.70%,-,0.30%
16.83,-,-,-,0.00,-0.37,-,-162.20%,-282.80%,6.00%,1.93%
1.47,87.41,2.91,4.96,0.71,0.14,-,1.30%,6.80%,-24.70%,1.02%
1.76,8.96,8.25,-,0.21,9.74,0.55%,26.40%,21.50%,-71.30%,1.80%
,,,,,,,,,,
20.97,-,-,-,16.69,-3.46,-,-253.00%,-56.00%,-2.30%,0.80%
0.53,4.65,13.79,0.19,1.28,2.56,-,13.70%,11.80%,-109.20%,1.10%
2.40,13.19,-,-,0.08,3.59,-,19.80%,9.50%,505.70%,2.60%
-,-,-,-,-,-,-,-,-,-,-
2.41,-,6.64,-,1.72,-2.64,-,-5.10%,1.10%,4114.90%,2.90%
,,,,,,,,,,
2.54,107.56,13.51,10.76,0.00,0.92,-,2.50%,2.60%,-171.20%,0.50%
-,-,-,-,-,-,3.28%,-,-,-,-
-,-,0.98,-,-,-50.52,-,-,-69.50%,-,1.10%
-,-,-,-,-,-2.33,-,755.40%,-,-7.30%,0.40%
1.65,51.50,114.70,-,0.26,1.39,0.64%,3.30%,15.40%,-205.80%,0.20%
0.98,-,-,-,0.00,-2.29,-,-63.50%,-,-19.90%,2.60%
-,-,-,-,-,-0.10,-,-5.00%,-,-168.70%,12.20%
1.03,-,-,-,0.00,-0.75,-,-24.20%,-31.10%,-738.80%,0.30%
,,,,,,,,,,
0.34,88.64,48.75,2.44,0.00,0.01,-,-5.80%,-3.10%,118.40%,3.75%
1.29,2.74,4.29,0.14,0.69,1.64,-,45.10%,46.90%,-86.20%,43.85%
2.04,12.72,12.79,1.59,0.00,7.04,2.90%,-,26.70%,15.30%,1.30%
0.65,-,-,-,0.00,-3.21,-,-89.30%,-49.50%,-,1.40%
,,,,,,,,,,
-,31.80,22.51,4.85,-,2.26,2.34%,-,28.10%,124.10%,1.00%
-,-,-,-,-,-,7.80%,-,-,-,-
0.70,8.91,6.17,1.11,0.02,2.24,2.00%,9.30%,26.00%,-17.60%,3.20%
0.05,-,-,-,-,-5.37,-,-,-,-,1.98%
,,,,,,,,,,
,,,,,,,,,,
0.89,-,-,-,3.33,-4.48,34.33%,-28.20%,11.20%,-124.70%,23.20%
2.78,-,-,-,0.00,-0.45,-,-48.30%,-51.10%,4.80%,25.22%
1.13,-,-,-,0.00,-1.10,-,-23.40%,-,-22.20%,15.53%
,,,,,,,,,,
-,-,-,-,-,-,1.80%,-,-,-,-
,,,,,,,,,,
-,-,-,-,-,-,3.02%,-,-,-,-
0.95,169.45,7.55,14.12,-,0.11,11.80%,-,-,49.00%,4.98%
4.43,15.99,10.73,1.28,0.00,2.01,-,32.30%,28.50%,31.20%,13.63%
0.92,19.90,10.66,0.99,0.58,0.69,-,4.70%,4.90%,-134.30%,1.60%
9.34,-,21.38,-,1.14,-0.83,0.57%,-20.00%,-2.80%,72.90%,56.40%
3.18,-,-,-,0.00,-4.78,-,-24.70%,-19.70%,-610.80%,0.10%
35.06,15.99,16.42,4.21,40.65,2.85,2.19%,489.10%,17.10%,-3.30%,0.20%
0.87,7.57,8.36,0.76,0.16,2.60,4.67%,12.00%,20.20%,69.20%,0.50%
2.17,-,-,-,0.00,-0.56,-,-108.20%,-,-67.70%,0.40%
-,-,-,-,-,-6.50,-,-530.40%,-46.00%,-7.50%,0.10%
1.10,7.80,8.89,1.30,0.18,6.40,3.20%,14.80%,27.70%,27.30%,12.10%
16.64,-,-,-,0.40,-0.41,-,-59.10%,-48.40%,25.70%,9.47%
0.06,-,-,-,-,-2.05,-,-,-,-,39.85%
1.46,2.98,4.26,0.11,0.00,23.47,2.29%,56.90%,33.10%,-,1.00%
0.60,-,-,-,0.00,-0.55,-,-7.60%,-11.20%,71.60%,66.98%
0.14,90.94,-,-,0.00,0.01,-,-,11.50%,-105.90%,-
-,-,-,-,-,-,1.75%,-,-,-,-
-,-,-,-,-,-,1.97%,-,-,-,-
3.52,-,-,-,0.00,-0.67,-,-54.50%,-56.80%,50.20%,35.10%
6.30,70.51,28.62,1.63,0.00,4.04,-,8.80%,11.20%,-32.90%,0.30%
5.87,37.04,38.45,2.47,2.47,0.30,2.67%,17.20%,4.50%,164.40%,10.10%
-,-,-,-,-,-1.78,-,-,-23.70%,-415.60%,11.20%
,,,,,,,,,,
0.41,-,-,-,0.00,-0.92,-,-175.00%,-,54.40%,10.15%
1.34,-,-,-,0.54,-1.57,-,-92.20%,-71.10%,16.70%,0.60%
1.91,-,-,-,0.00,-1.10,-,-188.70%,-494.70%,17.60%,16.95%
-,-,-,-,-,-8.42,6.70%,-,-,-,-
-,-,-,-,-,-,7.26%,-,-,33.50%,-
0.17,-,-,-,5.44,-2.57,-,-74.90%,-4.50%,-64.00%,14.45%
0.30,-,-,-,0.00,-1.40,-,-34.60%,-38.10%,8.30%,12.88%
0.58,-,6.89,-,0.20,-0.02,-,-0.30%,0.30%,-105.60%,6.70%
4.17,249.78,-,-,0.00,0.14,-,2.90%,-32.80%,460.90%,6.24%
0.82,6.78,-,-,0.01,0.57,-,-,13.80%,-78.50%,37.26%
6.27,-,-,-,0.57,-1.44,-,-91.60%,-,2.00%,2.40%
3.37,62.43,24.88,-,0.05,0.22,-,6.30%,0.30%,534.70%,19.60%
-,-,8.27,-,-,-2.44,-,50.60%,-271.30%,16.80%,3.00%
-,-,-,-,-,-,3.18%,-,-,-,-
,,,,,,,,,,
-,-,-,-,-,-,2.67%,-,-,-,-
1.89,-,-,-,0.19,-0.60,-,-,-80.00%,-738.00%,25.00%
0.92,7.06,-,-,0.23,2.51,3.62%,13.60%,30.40%,126.80%,2.20%
0.90,6.41,-,-,0.00,3.93,4.29%,15.40%,34.10%,50.90%,2.10%
,,,,,,,,,,
0.69,8.51,7.05,1.22,0.27,1.09,4.73%,8.30%,25.00%,-14.50%,6.50%
2.55,101.71,-,-,0.01,0.10,-,1.40%,-,442.40%,35.22%
0.42,-,-,-,0.00,-6.58,-,-67.00%,-,74.80%,-
,,,,,,,,,,
0.76,-,-,-,4.13,-2.38,5.89%,-27.90%,-,-11.50%,6.50%
1.92,10.10,22.49,-,0.04,3.81,-,24.60%,28.90%,2.20%,5.50%
1.26,353.19,-,-,-,0.05,10.54%,-,-,-,-
-,-,-,-,-,-,1.54%,-,-,-,-
1.39,11.53,-,-,0.00,1.64,-,12.70%,5.00%,-,0.70%
,,,,,,,,,,
3.50,25.27,20.79,2.94,0.79,2.86,2.13%,14.40%,5.10%,147.80%,0.16%
3.70,-,-,-,0.00,-3.00,-,-,-12.10%,-101.70%,43.15%
1.12,-,-,-,0.28,-0.74,-,-,-21.40%,89.30%,-
9.31,131.87,31.21,11.23,0.00,0.50,-,7.10%,-3.00%,104.90%,0.20%
2.58,25.32,12.29,21.10,0.00,3.06,-,10.70%,10.30%,-159.10%,0.40%
0.67,-,-,-,0.16,-0.21,-,-5.60%,-3.80%,-,13.40%
0.66,-,-,-,0.34,-1.53,-,-87.80%,-52.00%,-356.60%,0.70%
-,-,24.97,-,-,-0.85,4.59%,37.50%,33.40%,-234.20%,0.40%
9.05,-,-,-,0.64,-1.64,-,-343.00%,-,-51.10%,55.70%
2.75,-,-,-,3.45,-0.48,-,-34.60%,-29.00%,-60.20%,0.70%
1.98,-,4.91,-,0.76,-1.24,-,-180.20%,-198.70%,-464.90%,-
-,-,-,-,-,-0.15,-,5.20%,-446.10%,91.90%,38.70%
0.10,-,-,-,0.00,-13.09,-,-57.30%,-,67.80%,-
0.94,-,-,-,0.00,-2.47,-,-66.40%,-,42.90%,0.10%
,,,,,,,,,,
,,,,,,,,,,
27.39,39.02,30.41,1.31,0.00,18.67,1.37%,80.50%,42.30%,186.10%,0.40%
-,-,-,-,-,-,1.51%,-,-,-,-
0.79,18.32,11.58,-,0.00,0.75,5.81%,4.40%,13.80%,-54.70%,27.57%
1.46,14.12,8.98,3.00,0.00,0.61,4.19%,10.70%,13.50%,-102.20%,40.50%
9.89,37.33,32.71,4.49,0.29,13.61,0.80%,27.70%,20.40%,13.00%,0.20%
1.99,-,-,-,0.03,-0.09,-,-1.10%,-,-267.30%,6.43%
4.55,-,-,-,0.00,-1.96,-,-44.30%,-51.80%,48.70%,14.01%
2.71,-,76.27,-,0.00,-0.12,-,-6.10%,-9.70%,44.30%,2.80%
-,-,-,-,-,-,2.59%,-,-,-,-
,,,,,,,,,,
0.35,-,-,-,0.37,-0.28,-,-9.30%,10.50%,-257.40%,6.20%
-,-,-,-,-,-,1.03%,-,-,-,-
0.43,-,-,-,0.01,-5.01,-,-57.00%,-65.60%,-61.20%,0.60%
1.84,11.56,10.23,-,1.11,1.95,-,16.60%,14.90%,-98.10%,0.10%
-,-,-,-,-,-,1.22%,-,-,-,-
1.23,-,-,-,0.00,-0.73,-,-32.80%,-24.30%,-167.20%,1.40%
0.48,-,-,-,0.27,-1.70,-,-224.10%,-,-127.30%,54.22%
0.20,-,-,-,2.39,-118.65,-,-,-37.70%,-736.90%,3.60%
0.12,-,-,-,0.00,-1.77,-,-,-15.20%,-,22.10%
3.16,9.76,18.75,0.63,0.00,1.95,-,44.00%,10.40%,126.50%,1.60%
-,-,-,-,-,-,0.99%,-,-,-,-
3.12,15.03,14.36,-,0.00,1.00,-,21.80%,25.90%,-62.50%,1.20%
0.88,7.17,9.41,1.43,0.00,3.98,5.05%,12.70%,26.00%,4.80%,2.40%
3.38,26.81,22.00,2.09,0.84,3.08,1.69%,13.10%,8.50%,53.90%,1.50%
12.79,-,28.76,-,2.18,-1.25,-,-30.20%,-8.80%,22.70%,1.10%
-,-,5.45,-,-,-1.80,-,208.80%,-,-20.20%,19.50%
1.14,-,1.60,-,0.52,-0.58,-,-116.60%,-,66.40%,31.81%
1.50,-,-,-,0.00,-2.80,-,-35.70%,-31.50%,-35.60%,1.20%
,,,,,,,,,,
14.40,27.01,18.36,3.25,1.69,29.74,2.29%,57.40%,21.40%,57.40%,0.10%
2.33,25.73,11.11,1.72,0.32,0.47,-,10.00%,8.50%,33.00%,7.20%
127.90,-,-,-,13.00,-0.43,-,-162.70%,-57.00%,-,49.00%
0.60,-,-,-,0.00,-1.24,-,-101.80%,-133.30%,-24.70%,8.40%
,,,,,,,,,,
1.03,5.20,4.01,-,0.00,1.74,0.44%,-,21.50%,74.70%,50.89%
3.89,-,-,-,0.00,-2.29,-,-25.00%,-20.30%,39.00%,2.10%
2.96,26.90,16.90,1.99,0.84,3.05,-,11.20%,7.90%,-46.30%,1.10%
2.37,-,-,-,0.30,-1.36,-,-41.20%,-43.10%,9.20%,0.20%
-,-,-,-,-,-,0.86%,-,-,-,-
0.23,-,-,-,0.22,-2.21,-,-103.60%,-,17.60%,0.50%
3.48,14.51,11.29,0.66,2.74,31.63,-,26.10%,11.30%,-49.10%,0.70%
0.83,14.37,10.21,1.60,0.05,1.48,3.38%,6.20%,18.20%,-56.10%,0.90%
0.24,-,-,-,0.53,-14.76,-,-119.80%,-141.70%,-248.00%,-
1.06,13.61,-,3.40,0.00,9.96,1.36%,7.90%,18.60%,-80.80%,25.15%
0.35,-,-,-,-,-2.34,-,-,-,-,7.76%
3.94,44.09,25.48,4.84,0.79,1.13,-,10.40%,4.60%,61.30%,1.10%
0.11,-,-,-,0.54,-5.76,-,152.40%,-,-,6.30%
,,,,,,,,,,
0.69,-,4.98,-,0.06,-4.72,-,-29.60%,-36.50%,28.00%,3.72%
1.07,-,5.19,-,-,-0.40,-,-,-,-,9.68%
4.14,-,-,-,0.08,-0.18,-,-32.40%,-41.40%,-,87.54%
6.41,-,-,-,4.28,-2.76,-,-,-77.20%,-32.00%,0.31%
0.33,-,-,-,0.14,-1.18,-,-26.10%,6.10%,-,2.30%
0.76,-,-,-,0.00,-4.12,-,-164.80%,-,-171.70%,0.40%
-,-,-,-,-,-0.51,-,-,-,-,23.70%
,,,,,,,,,,
,,,,,,,,,,
1.18,308.00,-,-,0.00,0.01,-,0.50%,-0.10%,-384.50%,10.50%
2.52,-,10.65,-,0.28,-0.54,2.90%,-9.90%,-4.40%,-9.20%,2.50%
,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
0.60,-,7.70,-,-,-0.56,11.54%,-,-,-,27.53%
0.67,-,-,-,0.17,-0.13,-,-9.30%,-7.70%,-409.60%,20.32%
,,,,,,,,,,
1.11,-,-,-,0.00,-2.20,-,-67.20%,-,-39.70%,0.20%
1.76,-,-,-,0.43,-0.31,1.08%,0.00%,1.30%,-,22.34%
1.64,10.09,10.41,0.68,0.72,11.64,-,17.10%,10.30%,-64.90%,12.92%
2.64,11.14,-,-,0.05,11.57,-,25.90%,40.60%,-97.70%,2.40%
-,-,-,-,-,-,1.95%,-,-,-,-
1.76,-,-,-,0.00,-1.10,-,-7.10%,28.60%,-127.40%,1.70%
1.84,-,-,-,0.30,-0.47,-,-343.80%,-170.80%,51.80%,38.83%
0.15,-,-,-,0.61,-206.58,-,-69.20%,-173.10%,94.60%,4.50%
4.61,29.24,17.22,-,0.00,2.23,1.49%,16.10%,15.90%,-60.00%,6.70%
0.54,5.51,-,-,0.55,1.34,-,9.20%,33.20%,-106.60%,39.25%
,,,,,,,,,,
-,-,-,-,-,-10.11,-,-,2926.20%,13.40%,-
,,,,,,,,,,
-,-,-,-,-,-,2.60%,-,-,-,-
-,-,-,-,-,-,-,-,-,-,5.76%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.27,-,17.15,-,0.51,-0.69,1.67%,-,2.50%,-133.60%,0.06%
-,-,-,-,-,-,0.60%,-,-,-,-
0.21,-,-,-,0.29,-0.10,-,-3.50%,-13.50%,-159.30%,-
1.61,132.59,-,-,0.01,0.08,-,1.10%,-,273.20%,82.70%
1.02,-,-,-,0.00,-2.42,-,-45.60%,-63.70%,71.80%,1.00%
6.62,38.93,31.05,-,0.00,2.27,0.86%,17.70%,22.20%,-84.50%,0.70%
2.07,-,-,-,1.13,-1.14,-,-374.30%,-218.30%,44.20%,42.91%
16.29,-,-,-,0.00,-0.59,-,-100.00%,-,-368.40%,88.76%
,,,,,,,,,,
1.12,-,7.47,-,0.00,-0.05,-,-1.10%,4.40%,-603.40%,1.20%
