,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
CZWI,0.54,5.40,7.56,-,0.43,1.59,3.37%,11.60%,20.50%,-22.10%,2.80%
ACST,0.26,-,-,-,0.00,-0.41,-,-16.80%,-,-2.20%,-
ARAY,6.33,-,37.60,-,3.26,-0.11,-,-19.70%,2.10%,154.50%,4.70%
BWAC,2.83,27.66,-,-,0.03,0.39,-,2.20%,-,-183.70%,48.63%
LASE,1.36,-,-,-,0.00,-0.13,-,-11.00%,-5.60%,-,62.00%
HAYN,1.36,10.64,9.38,0.53,0.00,4.13,2.00%,13.70%,9.40%,42.00%,2.40%
CHK,0.99,1.59,11.44,-,0.20,47.60,10.53%,89.00%,41.40%,251.80%,0.10%
NYMTN,,,,,,,,,,,
FPXI,-,-,-,-,-,-,1.14%,-,-,-,-
ANIX,3.51,-,1.52,-,0.00,-0.40,-,-40.10%,-,40.90%,4.10%
SNFCA,0.55,7.27,-,-,0.47,1.07,-,8.30%,9.50%,-60.40%,0.30%
GILD,4.54,17.25,10.63,7.67,1.20,4.42,3.93%,26.70%,13.10%,5215.80%,0.10%
FXNC,,,,,,,,,,,
CLAY,,,,,,,,,,,
OCFC,0.53,5.95,6.14,0.60,0.12,2.46,5.46%,9.30%,18.20%,8.60%,0.10%
CRVL,17.03,51.00,-,-,0.00,3.77,-,32.00%,31.30%,26.60%,42.80%
ROCK,2.04,19.96,12.89,1.00,0.06,2.76,-,10.60%,11.10%,45.30%,0.70%
VII,3.02,32.07,-,-,0.03,0.33,-,1.50%,-,-132.10%,-
NPCE,4.01,-,-,-,1.96,-1.86,-,-116.00%,-46.50%,12.30%,18.30%
ACHV,312.00,-,-,-,41.00,-3.76,-,-762.70%,-,37.30%,0.30%
SOBR,3.54,-,-,-,0.38,-1.46,-,-228.70%,-,76.60%,2.30%
SIDU,1.23,-,-,-,-,-0.74,-,-,-219.00%,-,3.48%
EMCB,-,-,-,-,-,-,4.18%,-,-,-,-
BVXV,-,-,-,-,-,-7.29,-,-239.70%,-,85.40%,0.04%
NVOS,0.16,-,-,-,0.48,-1.13,-,-84.80%,-75.80%,-,12.92%
FTAG,-,-,-,-,-,-,1.89%,-,-,-,-
DWMC,,,,,,,,,,,
FAST,9.58,28.34,25.64,4.48,0.12,1.94,2.55%,34.80%,29.60%,10.40%,0.10%
NKLA,0.62,-,-,-,0.58,-1.71,-,-143.20%,-85.00%,16.50%,0.90%
MTRY,2.64,-,-,-,0.04,-0.13,-,-1.90%,-,-57.20%,50.68%
FEP,-,-,-,-,-,-,2.87%,-,-,-,-
NZUS,,,,,,,,,,,
AWH,32.90,-,-,-,4.00,-2.56,-,-291.80%,-321.20%,41.10%,0.50%
SAFT,1.34,41.22,13.99,2.75,0.06,1.78,4.90%,3.30%,4.10%,-258.60%,0.30%
FMBH,0.76,6.70,6.89,0.74,0.17,3.68,3.74%,12.00%,21.60%,8.70%,1.10%
TTEC,2.47,16.63,10.84,-,0.00,1.87,3.35%,16.10%,9.30%,-44.20%,0.60%
TXRH,6.85,25.87,19.87,1.43,0.00,4.17,2.04%,28.20%,26.00%,18.40%,0.30%
BSMP,-,-,-,-,-,-,1.81%,-,-,-,-
TARA,0.34,-,-,-,0.00,-5.70,-,-53.40%,-,16.30%,10.20%
VBFC,0.99,7.81,-,-,0.23,5.44,1.51%,13.20%,31.80%,-16.00%,4.20%
RDWR,2.61,-,23.41,-,0.00,-0.16,-,-0.50%,-2.50%,23.90%,28.50%
LIXT,22.67,-,-,-,0.00,-0.36,-,-263.30%,-,31.90%,1.10%
FULT,0.78,6.78,6.99,0.85,0.22,1.68,5.27%,12.00%,23.70%,2.40%,0.30%
WTBA,1.30,6.94,11.32,-,0.60,2.45,5.89%,19.50%,15.00%,-40.40%,0.60%
BSCP,-,-,-,-,-,-,2.79%,-,-,-,-
IONS,11.89,-,-,-,2.45,-2.31,-,-57.70%,-24.00%,-89.30%,0.40%
TURN,0.74,-,-,-,0.00,-4.34,-,-48.20%,-,-270.70%,8.90%
RZLT,0.84,-,-,-,0.00,-1.06,-,-34.00%,-,53.20%,16.65%
OXLC,1.03,-,-,-,-,-1.14,17.79%,-,-,-,0.64%
TMDX,12.12,-,669.72,-,0.31,-0.95,-,-18.30%,-12.60%,78.40%,1.50%
WSBC,0.62,8.10,8.74,0.81,0.12,3.02,5.72%,7.80%,16.80%,-0.70%,0.40%
FTHM,1.63,-,-,-,0.08,-1.72,-,-41.60%,-40.40%,3.10%,33.00%
SYPR,2.04,-,-,-,0.57,-0.13,-,-15.00%,-1.90%,-176.80%,15.30%
LITP,,,,,,,,,,,
WBA,1.22,-,6.26,-,0.66,-3.64,6.41%,-13.50%,4.60%,-20.20%,0.30%
CCBG,1.22,10.97,8.34,1.83,0.13,2.74,2.39%,11.80%,25.10%,75.80%,1.40%
STRS,0.88,-,-,-,0.64,-1.72,-,37.00%,-2.50%,-410.70%,1.40%
WULF,1.52,-,-,-,1.14,-0.33,-,-,-,28.80%,11.60%
AEAE,,,,,,,,,,,
KACLU,,,,,,,,,,,
LVOXU,,,,,,,,,,,
SAMG,2.18,10.09,10.58,0.85,0.06,1.91,3.74%,16.70%,33.90%,-57.70%,11.17%
NMIH,1.25,7.30,6.55,0.50,0.23,3.51,-,18.80%,16.10%,13.20%,0.30%
WVE,-,-,-,-,-,-1.77,-,-,362.30%,57.00%,25.16%
VTWG,-,-,-,-,-,-,0.87%,-,-,-,-
NNDM,0.52,-,-,-,0.01,-0.88,-,-18.20%,-14.70%,43.30%,0.88%
KYCHU,,,,,,,,,,,
NPAB,,,,,,,,,,,
PID,-,-,-,-,-,-,3.50%,-,-,-,-
ASRT,1.32,4.35,10.54,0.17,0.15,1.49,-,52.50%,40.30%,-134.80%,0.20%
LIVE,0.76,12.64,4.18,-,1.58,1.99,-,6.30%,14.90%,-89.90%,7.10%
DALN,2.30,-,-,-,0.00,-1.82,16.80%,-47.60%,-77.00%,0.70%,4.98%
GSD,,,,,,,,,,,
USLM,3.13,19.64,-,-,0.00,9.47,0.43%,17.00%,13.60%,96.60%,1.00%
CABA,3.80,-,-,-,0.00,-1.80,-,-59.20%,-,0.00%,4.10%
PEPLU,,,,,,,,,,,
CNTA,1.48,-,-,-,0.24,-2.25,-,-59.70%,-,11.30%,3.70%
EVBG,3.22,-,12.94,-,0.00,-1.43,-,-20.80%,-7.90%,24.80%,0.30%
ARTW,1.07,13.75,-,-,0.58,0.18,-,-,1.70%,175.40%,5.30%
THRN,1.61,22.84,7.35,-,0.22,0.19,-,7.50%,7.80%,-108.00%,6.40%
PULM,0.36,-,-,-,0.00,-5.19,-,-55.70%,-,19.20%,-
IGTA,,,,,,,,,,,
CVCO,2.33,9.71,8.86,0.32,0.01,26.93,-,25.90%,23.40%,-7.20%,0.60%
ENER,1.31,230.00,-,-,0.00,0.04,-,1.50%,-,353.90%,0.30%
OPTN,-,-,-,-,-,-0.74,-,103.30%,-77.60%,45.10%,1.80%
DEMZ,-,-,-,-,-,-,0.90%,-,-,-,-
HARP,34.44,-,-,-,7.43,-1.73,-,-473.10%,-,50.40%,1.04%
ETEC,,,,,,,,,,,
VIRX,1.15,-,-,-,0.54,-1.34,-,-86.50%,-,-13.00%,2.20%
LINK,4.80,70.28,-,-,0.00,0.14,-,7.10%,-6.80%,-792.10%,0.20%
XFIN,,,,,,,,,,,
LBC,0.64,6.35,10.89,0.91,0.23,1.39,5.44%,10.40%,17.00%,-40.80%,80.02%
KHC,0.94,19.29,12.49,4.15,0.41,1.96,4.23%,5.00%,4.50%,7.70%,0.40%
UCTT,1.79,180.78,14.52,9.04,0.57,0.19,-,1.10%,5.90%,-112.40%,0.70%
CAPR,17.60,-,-,-,0.55,-1.17,-,-222.20%,-195.40%,4.40%,0.20%
CRAI,3.40,16.58,15.19,1.66,0.51,5.67,1.53%,-,20.60%,-19.20%,4.00%
HHR,,,,,,,,,,,
LITT,,,,,,,,,,,
BPYPM,,,,,,,,,,,
MOGO,0.51,-,-,-,0.81,-2.02,-,-101.40%,-67.30%,62.70%,12.52%
WINV,,,,,,,,,,,
MDGL,33.94,-,-,-,0.56,-18.09,-,-285.00%,-,-25.70%,17.68%
LWLG,29.04,-,-,-,0.00,-0.15,-,-,-,-,0.10%
NVCT,20.73,-,-,-,0.00,-1.43,-,-138.40%,-,14.40%,29.10%
KZR,0.82,-,-,-,0.04,-1.06,-,-27.00%,-,-16.10%,1.10%
HCMA,1.39,48.06,-,-,0.00,0.22,-,3.00%,-,-88.00%,-
BDGS,,,,,,,,,,,
BMRA,3.50,-,-,-,0.00,-0.54,-,-95.20%,-54.90%,-,7.14%
HYMCL,0.18,-,-,-,-,-1.54,-,-,-,-,-
ESPR,-,-,-,-,-,-3.40,-,77.00%,280.90%,15.50%,0.60%
QCLN,-,-,-,-,-,-,0.42%,-,-,-,-
PNQI,-,-,-,-,-,-,-,-,-,-,-
PLSE,-,-,-,-,-,-1.41,-,-,-91.10%,54.90%,0.10%
AKRO,6.72,-,-,-,0.08,-2.74,-,-39.80%,-,26.00%,2.10%
NRSN,3.26,-,-,-,0.02,-1.07,-,-139.40%,-,27.90%,41.01%
HAFC,0.68,4.43,5.71,0.55,0.20,3.36,6.72%,-,25.80%,6.20%,0.60%
AZN,6.18,47.37,16.57,3.62,0.88,1.51,3.41%,13.10%,6.90%,367.40%,0.50%
ACAB,,,,,,,,,,,
AOUT,0.51,-,12.73,-,0.05,-6.31,-,-42.70%,-28.90%,-181.00%,3.30%
OCGN,1.35,-,-,-,0.03,-0.36,-,-86.50%,-,16.50%,0.40%
HFBL,0.81,7.91,-,-,0.00,1.71,3.55%,11.10%,30.40%,-8.00%,9.60%
AKAN,0.09,-,-,-,-,-2.52,-,-,-,-,65.94%
HYW,1.18,5.49,4.26,1.21,0.00,1.13,-,26.60%,24.50%,14.00%,-
ACWX,-,-,-,-,-,-,2.70%,-,-,-,-
MSFT,12.66,35.90,30.31,2.97,0.33,9.23,0.82%,38.50%,31.30%,10.40%,0.05%
MOFG,0.61,6.34,6.60,0.79,0.24,3.08,4.97%,9.90%,23.80%,-89.90%,1.00%
BHRB,,,,,,,,,,,
HLTH,0.18,-,-,-,0.01,-1.31,-,-20.30%,-33.80%,-190.60%,12.80%
PUI,-,-,-,-,-,-,2.09%,-,-,-,-
VLGEA,0.74,10.02,-,-,0.28,2.05,4.87%,8.50%,5.70%,58.90%,19.15%
CHCI,1.26,4.34,-,0.43,0.00,0.89,-,30.70%,27.10%,-66.60%,68.54%
MASI,6.17,71.72,28.91,6.03,0.70,2.18,-,9.20%,7.00%,-51.80%,0.80%
CMCSA,2.00,29.69,9.58,4.00,1.22,1.32,2.96%,6.80%,5.40%,16.50%,0.74%
GFAI,0.37,-,-,-,1.46,-14.97,-,-145.80%,-36.00%,-,26.98%
PCVX,4.45,-,-,-,0.00,-3.42,-,-37.30%,-,-3.50%,0.60%
MINM,0.45,-,-,-,0.36,-8.37,-,-68.90%,-68.60%,-147.20%,0.60%
RDNT,5.09,-,85.09,-,2.65,-0.23,-,-4.20%,3.10%,-780.90%,0.80%
AKAM,3.44,29.11,14.62,3.64,0.00,3.16,-,11.80%,8.30%,-23.70%,0.10%
ASTR,2.21,-,-,-,0.00,-1.39,-,-275.30%,-508.90%,48.90%,2.50%
HSDT,0.58,-,-,-,0.00,-2.41,-,-162.30%,-160.50%,86.70%,2.36%
ARBK,4.10,-,-,-,5.54,-5.02,-,-167.30%,-153.60%,-,0.03%
AIRS,6.17,-,37.27,-,1.11,-0.25,-,-17.70%,-5.10%,98.00%,29.70%
OKYO,,,,,,,,,,,
PIZ,-,-,-,-,-,-,2.42%,-,-,-,-
NTRSO,,,,,,,,,,,
MYMD,5.55,-,-,-,0.00,-0.33,-,-82.70%,-,61.20%,0.60%
ATMV,,,,,,,,,,,
XPAXU,,,,,,,,,,,
COLB,0.88,6.47,5.30,0.81,0.00,3.20,6.96%,-,24.80%,-,0.10%
JFU,0.11,-,-,-,0.00,-7.18,-,-15.00%,-17.10%,98.70%,49.02%
MXL,3.20,23.74,11.87,-,0.00,1.25,-,15.60%,16.40%,-71.90%,1.80%
LFVN,1.74,-,-,-,0.00,-0.08,3.04%,-2.60%,12.10%,-7.00%,9.00%
FCA,-,-,-,-,-,-,6.30%,-,-,-,-
XEL,2.10,19.84,17.76,3.10,1.48,3.23,3.24%,10.80%,6.20%,8.80%,0.10%
AXDX,-,-,-,-,-,-0.75,-,198.00%,-112.10%,14.00%,0.80%
CETX,1.01,-,936.00,-,2.71,-9.83,-,-90.50%,-50.00%,87.30%,13.74%
FBRX,0.65,-,-,-,0.00,-0.94,-,-47.30%,-,-84.80%,18.56%
AMED,2.27,21.92,16.01,-,0.37,3.44,-,10.90%,9.30%,-20.00%,0.30%
CTBI,0.94,7.59,8.51,1.52,0.10,4.56,5.09%,12.90%,21.00%,-2.40%,0.10%
BNDW,-,-,-,-,-,-,2.21%,-,-,-,-
THTX,-,-,-,-,-,-0.50,-,-,-,-,0.84%
FBL,-,-,-,-,-,-,-,-,-,-,-
HOOD,1.13,-,-,-,0.37,-1.29,-,-16.40%,-11.50%,-26.10%,0.40%
FCBC,1.03,9.20,11.77,1.84,0.00,2.98,4.23%,11.60%,21.90%,28.20%,15.18%
AHG,0.59,-,-,-,0.00,-0.88,-,-88.50%,-130.60%,87.90%,-
AQST,-,-,-,-,-,-0.71,-,30.70%,63.30%,134.30%,0.40%
HTCR,5.85,-,16.63,-,0.38,-0.37,-,-73.90%,-101.40%,-105.80%,77.07%
FTRI,-,-,-,-,-,-,8.92%,-,-,-,-
CZR,2.38,-,18.65,-,6.83,-0.92,-,-31.60%,5.80%,67.00%,0.40%
MGRC,2.56,20.45,16.87,2.05,0.77,4.40,2.07%,21.10%,10.70%,-34.90%,1.44%
BCOV,1.85,-,19.57,-,0.00,-0.45,-,-19.00%,-7.80%,-597.10%,0.80%
MSVB,0.81,16.09,-,-,0.00,0.65,2.30%,5.30%,22.40%,-24.10%,7.30%
IDN,2.83,-,-,-,0.00,-0.20,-,-20.30%,-20.80%,12.30%,5.10%
PRVA,5.50,187.33,73.69,-,0.00,0.13,-,3.40%,-2.50%,136.40%,2.80%
MDB,27.48,-,190.35,-,1.61,-5.04,-,-50.00%,-18.60%,26.50%,2.60%
PHIO,0.63,-,-,-,0.00,-10.92,-,-102.20%,-,-34.90%,0.90%
SKGRU,,,,,,,,,,,
LGVC,-,159.38,-,-,-,0.07,-,-,-,-,4.19%
IPGP,2.31,59.12,19.77,12.85,0.01,1.93,-,4.00%,4.00%,-3.90%,15.70%
SHBI,0.63,7.07,6.65,0.71,0.12,1.61,4.21%,8.90%,21.70%,14.70%,0.60%
SAMAU,,,,,,,,,,,
HEPA,1.15,-,-,-,0.00,-9.77,-,-99.90%,-,-91.30%,-
VMD,2.65,46.20,20.15,-,0.01,0.20,-,6.20%,5.60%,-13.20%,13.95%
APRE,0.47,-,-,-,0.00,-91.30,-,-,-,81.50%,2.50%
AHRN,1.28,28.75,-,-,0.00,0.37,-,3.10%,-,-78.70%,-
FALN,-,-,-,-,-,-,5.26%,-,-,-,-
HSON,1.17,12.60,5.61,1.80,0.03,1.42,-,9.80%,14.90%,-88.30%,11.70%
DKNG,10.40,-,-,-,1.23,-2.92,-,-94.40%,-56.10%,23.30%,2.10%
COMM,-,-,1.80,-,-,-5.80,-,117.80%,-8.80%,92.50%,1.00%
NYXH,1.59,-,-,-,-,-1.68,-,-,-,-,50.14%
TWIN,1.11,15.96,-,2.00,0.26,0.71,-,7.30%,5.30%,18.10%,5.40%
BL,25.79,-,36.10,-,11.86,-0.53,-,-32.50%,-2.80%,-17.80%,1.10%
RILYZ,,,,,,,,,,,
SWKH,,,,,,,,,,,
BVS,0.96,-,16.44,-,2.36,-3.67,-,-88.40%,-27.30%,-613.10%,15.63%
ZION,0.90,4.94,5.63,-,0.14,5.85,5.67%,18.80%,42.20%,4.60%,1.00%
URBN,1.67,16.77,11.08,0.79,0.00,1.93,-,9.80%,9.20%,-19.00%,37.33%
UVSP,0.68,6.93,7.10,1.73,0.19,2.67,4.53%,10.20%,20.20%,4.30%,0.80%
SHC,10.88,-,15.26,-,6.36,-0.93,-,-,-6.80%,-90.80%,0.40%
ZTAQU,,,,,,,,,,,
APWC,0.21,8.42,-,-,0.40,0.19,-,-,2.80%,-,75.40%
CHX,3.08,29.57,10.98,0.93,0.36,0.89,1.29%,10.50%,8.90%,78.60%,0.70%
KOPN,4.95,-,-,-,0.00,-0.22,-,-61.90%,-90.60%,-64.30%,0.90%
MSFU,,,,,,,,,,,
GOEV,0.96,-,-,-,0.00,-1.57,-,-200.30%,-,59.50%,3.00%
MGIH,0.41,4.50,-,-,0.39,0.36,-,-,8.30%,200.70%,88.90%
BGRY,8.18,-,-,-,0.00,-0.49,-,-156.40%,-162.10%,-48.70%,0.20%
VBLT,0.83,-,-,-,0.00,-0.32,-,-96.10%,-146.00%,74.80%,12.87%
BSCR,-,-,-,-,-,-,3.14%,-,-,-,-
RDIB,,,,,,,,,,,
QNST,1.76,-,41.70,-,0.00,-0.33,-,-6.30%,-1.50%,-122.10%,2.40%
RILYN,,,,,,,,,,,
AZPN,0.81,-,25.81,-,0.00,-0.95,-,-0.60%,0.40%,-903.00%,0.40%
IEUS,-,-,-,-,-,-,2.82%,-,-,-,-
SPBC,-,-,-,-,-,-,4.25%,-,-,-,-
CRIS,2.11,-,-,-,0.00,-0.55,-,-103.80%,-113.80%,31.90%,5.93%
SFE,0.94,-,-,-,0.00,-0.68,-,-29.60%,-,46.40%,5.10%
PANL,0.83,4.22,7.21,-,0.92,1.39,6.83%,20.60%,17.20%,-82.70%,29.28%
UTAA,1.30,66.52,-,-,0.00,0.16,-,2.00%,-,563.60%,-
NOGN,-,-,-,-,-,-4.94,-,81.40%,340.40%,0.40%,25.20%
VRTS,1.69,11.81,7.50,0.35,2.76,16.52,3.38%,15.20%,4.40%,23.60%,0.10%
TCBX,0.58,10.46,8.10,0.57,0.29,1.58,-,6.40%,20.20%,216.60%,1.00%
HOWL,0.95,-,-,-,0.32,-1.66,-,-40.00%,-45.80%,38.50%,2.41%
CHEF,2.89,44.64,17.19,2.11,1.64,0.70,-,7.10%,6.70%,-1.10%,0.50%
EVLV,4.04,-,-,-,0.00,-0.70,-,-43.10%,-40.00%,-103.00%,16.40%
PYCR,2.97,-,50.89,-,0.00,-0.50,-,-6.90%,-11.20%,56.40%,0.60%
LYEL,0.88,-,-,-,0.00,-0.73,-,-22.00%,-23.00%,3.90%,3.10%
HAIA,,,,,,,,,,,
WYNN,-,-,22.01,-,-,-2.01,1.00%,32.10%,-1.00%,106.80%,0.30%
VTC,-,-,-,-,-,-,3.37%,-,-,-,-
ACAX,,,,,,,,,,,
RVLP,2.03,-,-,-,1.43,-0.60,-,-103.60%,-54.60%,-43.10%,3.60%
PLRX,2.13,-,-,-,0.02,-2.86,-,-39.00%,-39.40%,13.90%,0.90%
ROIV,6.77,-,-,-,0.43,-1.78,-,-96.60%,-68.60%,-19.10%,14.50%
WAVS,6.97,-,-,-,-,-0.04,-,-,-,-,22.47%
ALEC,3.34,-,-,-,0.00,-1.58,-,-57.30%,-64.30%,-1.30%,3.10%
MMMB,7.38,44.04,12.55,-,0.78,0.06,-,23.00%,12.70%,223.80%,0.30%
BFRG,6.67,-,-,-,-,-0.49,-,-,-,-302.30%,71.72%
HLIT,5.81,56.96,16.49,2.94,0.39,0.31,-,11.10%,6.40%,394.20%,1.20%
VONE,-,-,-,-,-,-,1.81%,-,-,-,-
EVAX,4.46,-,-,-,1.23,-0.98,-,-135.50%,-,-145.00%,42.47%
MGNI,2.27,-,14.02,-,0.96,-1.38,-,-23.60%,-7.10%,-117.40%,2.40%
ENVX,6.59,-,-,-,0.00,-1.09,-,-46.10%,-37.00%,-269.80%,2.60%
GRAB,1.74,-,-,-,0.12,-0.40,-,-22.20%,-17.30%,42.40%,27.55%
CFFSU,,,,,,,,,,,
CNTY,1.45,34.90,7.02,1.40,4.45,0.20,-,4.50%,9.70%,-694.30%,0.10%
CVKD,3.58,-,-,-,0.00,-1.31,-,-,-,-,69.49%
EZPW,0.67,27.24,9.60,0.78,0.51,0.32,-,4.20%,5.70%,-167.50%,1.80%
PTCT,-,-,-,-,-,-7.89,-,188.30%,-41.70%,-5.90%,0.10%
YJ,0.21,-,-,-,0.00,-0.09,-,-9.80%,-7.60%,-169.70%,22.26%
FRHC,6.93,34.63,-,-,1.84,2.36,-,-,22.40%,-19.90%,71.57%
HPCO,1.74,-,-,-,0.04,-0.30,-,-110.20%,-88.60%,-614.80%,0.20%
BWEN,1.75,-,5.06,-,0.64,-0.32,-,-13.70%,-10.90%,129.50%,2.80%
IMCC,0.51,-,-,-,0.42,-2.31,-,-,-86.50%,103.20%,33.05%
ISSC,3.46,23.89,17.92,1.19,0.00,0.28,-,15.70%,17.60%,-11.60%,0.10%
BABX,-,-,-,-,-,-,-,-,-,-,-
CASY,3.28,19.09,21.31,2.21,0.64,12.02,0.66%,18.50%,10.10%,55.50%,0.30%
FORTY,1.88,13.30,-,-,1.33,5.22,1.79%,14.70%,16.70%,-3.10%,68.90%
HQY,2.47,-,23.30,-,0.49,-0.31,-,-1.40%,0.70%,99.40%,0.50%
CCLDO,,,,,,,,,,,
COHU,1.92,20.29,14.75,-,0.05,1.88,-,10.00%,9.50%,-25.20%,1.00%
UNB,1.62,7.49,-,-,0.27,2.90,6.62%,23.30%,51.50%,19.60%,0.10%
THCP,,,,,,,,,,,
BMRN,3.49,234.46,31.08,4.04,0.00,0.37,-,1.60%,2.50%,-57.80%,0.30%
OCC,1.37,22.04,-,-,0.50,0.18,-,6.40%,1.40%,182.40%,1.60%
MNTK,4.43,30.88,21.33,-,0.31,0.23,-,14.90%,12.20%,-238.20%,1.00%
RCEL,3.58,-,-,-,0.00,-1.05,-,-30.80%,-32.50%,3.60%,1.80%
ATXG,0.91,370.00,-,-,0.00,0.00,-,0.50%,-80.50%,-759.10%,5.74%
JSPR,1.13,-,-,-,0.00,-1.08,-,-74.40%,-,-166.10%,5.90%
SQLV,-,-,-,-,-,-,1.33%,-,-,-,-
LCNB,0.79,7.50,8.90,5.36,0.00,1.92,5.83%,10.80%,27.90%,-3.10%,1.30%
BACK,4.47,-,-,-,0.10,-0.63,-,-240.90%,-373.10%,6.60%,1.80%
ASTL,0.66,1.95,3.84,-,0.08,3.52,2.91%,37.60%,50.70%,-161.40%,10.83%
VECT,4.07,-,-,-,0.05,-1.87,-,-61.30%,-,4.00%,4.50%
CWBC,0.84,8.02,9.02,-,0.00,1.34,2.98%,10.80%,36.20%,-38.70%,2.90%
GDTC,14.19,-,-,-,2.08,-0.13,-,-,-,-88.10%,69.15%
CHSCM,-,-,-,-,-,-,6.77%,-,-,33.50%,-
SWIM,1.16,-,12.36,-,0.96,-0.15,-,-4.50%,2.70%,-413.10%,0.90%
OPRA,1.63,36.12,18.64,-,0.01,0.42,-,4.30%,3.70%,309.60%,12.16%
ALAR,0.80,-,-,-,-,-4.38,-,-,-,-,5.11%
BSMS,-,-,-,-,-,-,2.05%,-,-,-,-
CENX,2.04,-,4.80,-,1.43,-0.80,-,-15.80%,-21.30%,-344.60%,0.30%
CSGS,3.95,25.04,12.40,3.97,1.20,1.91,2.34%,16.30%,7.10%,255.80%,0.10%
IPSC,0.64,-,-,-,0.04,-2.14,-,-39.30%,-42.80%,18.90%,36.04%
NIR,4.62,7.63,-,-,15.37,0.24,-,-22.20%,-,-546.50%,90.32%
ENSG,3.69,21.39,17.19,1.43,0.12,4.12,0.26%,-,16.60%,18.40%,0.70%
OSPN,2.93,-,94.13,-,0.00,-0.70,-,-14.00%,-14.70%,-258.80%,0.30%
CASH,1.85,10.08,7.23,-,0.05,4.55,0.44%,18.70%,36.80%,-46.80%,1.00%
RNA,1.35,-,-,-,0.00,-3.36,-,-40.70%,-30.90%,-4.80%,5.17%
PPSI,3.07,-,12.85,-,0.04,-0.28,-,-,-22.80%,116.30%,22.20%
RTLPO,,,,,,,,,,,
APP,4.76,-,38.89,-,1.70,-0.22,-,-,-0.70%,96.10%,4.30%
BSCN,-,-,-,-,-,-,2.05%,-,-,-,-
MERC,0.73,4.74,11.55,-,1.68,1.92,3.31%,16.30%,13.40%,-134.30%,0.20%
VRNA,5.87,-,-,-,0.07,-0.88,-,-28.30%,-32.00%,47.70%,50.80%
IMKTA,1.15,6.32,-,0.44,0.41,13.05,0.80%,19.30%,15.70%,-40.90%,1.30%
MYPS,1.93,146.67,115.79,4.18,0.00,0.03,-,1.60%,-7.40%,90.30%,0.10%
NLTX,0.55,-,-,-,0.00,-1.02,-,-56.70%,-,7.90%,18.20%
BIB,-,-,-,-,-,-,0.04%,-,-,-,-
PNFP,0.70,6.93,7.27,0.22,0.08,7.27,1.75%,10.60%,16.10%,6.40%,2.21%
SCOR,0.62,-,-,-,0.00,-0.87,-,-52.20%,-47.00%,6.80%,4.20%
GFS,3.25,22.36,20.78,8.98,0.25,2.71,-,16.10%,11.60%,34.60%,-
FRPT,3.21,-,-,-,0.00,-1.41,-,-6.60%,-5.10%,-27.70%,0.10%
EACPU,,,,,,,,,,,
OPGN,0.36,-,-,-,1.13,-86.89,-,-249.50%,-177.30%,57.20%,0.10%
FOSLL,,,,,,,,,,,
NWPX,0.83,8.94,10.15,0.89,0.23,2.99,-,9.60%,8.30%,-34.40%,1.90%
AHRNU,,,,,,,,,,,
ATCOL,,,,,,,,,,,
UCYB,-,-,-,-,-,-,-,-,-,-,-
GEGGL,,,,,,,,,,,
IOSP,2.17,18.12,13.33,2.42,0.00,5.19,1.42%,12.10%,13.10%,-9.10%,0.10%
META,5.44,31.51,18.04,1.70,0.10,8.33,-,17.10%,18.20%,-19.20%,0.23%
AOGOU,,,,,,,,,,,
CDXC,3.78,-,-,-,0.00,-0.15,-,-43.50%,-64.90%,77.60%,12.00%
PI,100.20,-,50.73,-,0.00,-0.71,-,-220.50%,-6.60%,60.40%,1.70%
PINC,1.28,16.49,9.51,2.94,0.20,1.53,3.33%,8.00%,7.50%,21.80%,0.90%
FTXL,-,-,-,-,-,-,0.74%,-,-,-,-
NUTX,3.25,-,-,-,2.85,-0.70,-,-,-122.70%,-123.30%,0.10%
FLFV,,,,,,,,,,,
FLNT,0.84,-,9.28,-,0.63,-1.88,-,-129.60%,-90.20%,-,17.20%
AFBI,0.67,11.45,-,-,0.00,1.05,-,6.10%,22.90%,-0.60%,2.30%
IKNA,1.56,-,-,-,0.00,-1.83,-,-43.00%,-48.20%,16.00%,0.40%
TCMD,2.79,-,45.53,-,0.31,-0.20,-,-3.30%,-8.90%,88.70%,0.50%
EOLS,75.00,-,-,-,0.00,-1.27,-,-282.50%,-72.40%,16.60%,13.20%
SMSI,1.02,-,13.86,-,0.13,-0.51,-,-36.40%,-36.50%,13.00%,2.10%
OPI,0.26,51.69,-,10.34,1.83,0.14,13.62%,0.50%,2.30%,96.70%,0.50%
BFI,0.43,-,-,-,0.72,-4.43,-,-108.80%,-70.60%,37.10%,35.63%
SOHO,0.63,1.22,-,-,5.95,1.49,-,53.20%,5.50%,78.60%,5.10%
CLGN,2.44,-,-,-,0.00,-1.53,-,-,-52.90%,-,10.16%
VCIG,3.45,19.12,-,-,0.05,0.14,-,-,68.30%,-26.50%,78.89%
CLSC,-,-,-,-,-,-,5.20%,-,-,-,-
FTFT,0.26,-,-,-,0.06,-0.92,-,-19.00%,-25.00%,17.50%,1.90%
ZIONL,,,,,,,,,,,
AGNCN,,,,,,,,,,,
NWFL,1.11,7.03,-,-,0.00,3.42,4.83%,16.50%,36.10%,-18.40%,1.00%
MBINN,0.74,3.89,-,-,-,4.43,8.71%,-,-,9.60%,-
BYNOU,,,,,,,,,,,
